prompt,positive,negative
Could you elaborate on why the movie made you uncomfortable?,"I've been watching a lot of cartoon or animated movies because I have a baby girl who likes to watch TV. I began to watch this movie to see if I would like my little one to watch it... and no. At the beginning I thought it was such a cute movie like the Bambi movie, but all the way it was like insinuating the ducky was a homosexual. The info said that they were making fun of him because he wasn't good at sports, but that was not the case. It just seems like a movie made for kids to learn to be okay being gay. It was also very sad, as far as the ducky's dad and all. I don't know, I guess if you're gay you'd like it, but I don't think I'm going to watch it again with my little one.","The movie was disappointing. It seemed to insinuate that the character was homosexual, which made it unsuitable for children in my opinion. Additionally, the storyline was quite sad and not very enjoyable."
Can you tell me more about the story and musical numbers in the movie?,"Unfortunately for me, the first Busby Berkeley movie I ever watched was ""42nd Street."" I then expected all of his stuff to be that good. I found out that wasn't necessarily the case, even here, with my all-time favorite classic-era actor James Cagney.<br /><br />Oh, the musical numbers at the end are as spectacular as always, but the story is like many of the others and quite tiresome. They seem to always involve screaming, unhappy show producers. In this film, it's Cagney who winds up shouting things out so often that he gives me a headache after awhile and his character wears thin....fast!<br /><br />Even the songs in here are anywhere near ""42nd Street"" class, songs you could hum for years and years - decades, I should say. The songs in this movie are not memorable. No, this is one of the few early Cagney films - and Berkeley films - I totally dislike and was very disappointed with while watching.","Unfortunately, this Busby Berkeley film featuring James Cagney falls short in comparison to classics like ""42nd Street."" While the musical numbers are impressive, the repetitive story involving screaming, unhappy show producers and Cagney's character constantly shouting can be quite tiresome and headache-inducing. Additionally, the songs in this movie lack memorability and fail to stand the test of time like those in ""42nd Street."" Overall, this film was a major disappointment for me."
What are some common criticisms of this film adaptation?,"I was surprised when I saw this film. I'd heard it was the best ever filmed of the novel. How disappointed I was.<br /><br />How any true Jane Austen fan can rate this adaptation is a mystery to my eyes. The scriptwriters have decided to stick in bits of ridiculous humour which are embarrassing at the best of times, but also ruin the feel of the period. As for the cast: Gwyneth Paltrow makes a rather shallow heroine (but then any 'hot' American star would be questionable in the role), Toni Collette is miscast, and poor Ewan McGregor is made to look laughable!<br /><br />I really could not say a good thing about this film. I seem to be among the very few who don't rate it, but if you want my advice, see instead the TV production starring Kate Beckinsale - believe me, that is far preferable to this superficial trash.","The film adaptation disappointed many fans of the novel due to the inclusion of ridiculous humor that felt out of place for the period setting. The casting choices, particularly Gwyneth Paltrow as the shallow heroine and Toni Collette as a miscast character, received negative feedback. Additionally, the film was described as superficial trash compared to a TV production starring Kate Beckinsale which was favored as a preferable alternative."
Was Gwyneth Paltrow's performance in the movie praised by critics?,"How good is Gwyneth Paltrow! This is the right movie for her... too bad she's completely out role. I haven't read the book by Jane Austen, but I can't believe it is so superficial and the characters aren't much more than caricatures. It wasn't probably that easy to reduce in 2 hours of show about 600 pages of the book, but I had expected more than just seeing old pieces of furniture and tea cups. I was taking a sigh of relief every time I saw an actor who didn't overstep the mark of overacting (a couple of times).","The movie fails to capture the depth and richness of Jane Austen's novel, resulting in superficial characters and a lackluster portrayal of the story. There are moments of overacting that detract from the overall viewing experience, leaving the audience wanting more substance beyond just aesthetics like old furniture and tea cups."
What aspect of the movie Emma did the viewer find disappointing?,"i like Jane Austin novels. I love Pride and Prejudice and Sense and Sensibility books and movies, and I'm half way through Mansfield Park. But i couldn't stand Emma. I gave up on the book after 2 chapters, and by the end of the movie i couldn't care less about Emma. She didn't seem to change at all. Maybe it was Paltrows acting (which as excellent in Se7en) or my lack of interest for the movie. Dunno. <br /><br />The costumes are nice, but the dancing was clumsy compared to Pride and Prejudice dancing by Colin Firth and Jennifer Ehle.<br /><br />I gave it a 2 basically for the fact Knightly is bloody gorgeous, and although it as a rather patchy performance for Ewan McGregor, i liked his singing.","The viewer found Emma uninteresting, with the character lacking development throughout the story. Additionally, the dancing scenes were considered clumsy compared to those in Pride and Prejudice. The only redeeming factors were the appealing costumes, the attractiveness of Knightly and the singing performance by Ewan McGregor."
What are some of the main issues with the film adaptation of the Jane Austen novel as pointed out by this review?,"Reading through all these positive reviews I find myself baffled. How is it that so many enjoyed what I consider to be a woefully bad adaptation of my second favourite Jane Austen novel? There are many problems with the film, already mentioned in a few reviews; simply put it is a hammed-up, over-acted, chintzy mess from opening credits to butchered ending.<br /><br />While many characters are mis-cast and neither Ewan McGregor nor Toni Collette puts in a performance that is worthy of them, the worst by far is Paltrow. I have very much enjoyed her performance in some roles, but here she is abominable - she is self-conscious, nasal, slouching and entirely disconnected from her characters and those around her. An extremely disappointing effort - though even a perfect Emma could not have saved this film.",
Did the movie fail to deliver on the comedic aspect? Was there a disconnect with Gwen Paltrow's performance?,"How can anybody say that this movie is a comedy?? If I had not gone with then my finacee I would have fallen asleep and asked for my money back. I love Gwen Paltrow, but it was like she was on the wrong set. I like most chick flicks, but I hated this one. This is the only time I saw so much clevage and was not turned on. Those outfits were way overdone. No one talks that way anymore and I don't think they even did then. The dancing part was horrible.My ex said to me later...""Didn't ya like that part? Didn't ya think it was sensous?"" I said yes only to spare her feelings. Now I know why we never married.This is one of the worst movies I have ever seen.","This movie was a total snooze fest, lacking any semblance of comedy and making Gwen Paltrow appear out of place. The storyline felt outdated, the costumes were too flashy, and the dialogue was unrealistic. The dancing scenes were cringeworthy, and overall, it was one of the worst films I've ever seen."
"What are some elements that make ""Saving Grace"" a disappointing film?","...but I regret having seen it. Since the ratings on IMDb are relatively high (and they must also have been relatively high on Netflix), I guess I put it in my queue because it is advertised as a gentle comedy from the UK, a category that has produced many films I liked immensely. ""Saving Grace,"" on the other hand, falls into the category of laugh-less comedies usually populated by Hollywood movies produced and directed by the talentless. Brenda Blethyn is a capable actress, and I have liked her in other movies. The concept -- a gardener growing marijuana to overcome the penury she finds herself confronting after her husband's death -- does not offend me. Notwithstanding the strenuous efforts on the part of the cast to produce humor, the film falls flat on its face (falling flat on its arse might have been funnier) as far as I and my wife were concerned. Be forewarned, oh gentle reader, not all offbeat British comedies succeed. This one is a dud.","The film falls flat in delivering humor despite the efforts of the cast, failing to live up to expectations of a gentle comedy."
What are some weaknesses of the movie Saving Grace?,"The plot, character development, and gags in this movie are all extremely weak. Quite a waste of time. The conclusion of Saving Grace is supposed to make one feel warm and fuzzy as though the characters have grown through their struggles. There was no such development to make such warm fuzzy feelings possible. The drug gags are cliched and much of the movie doesn't ring true to life. The plot builds what is supposed to be tension but the characters aren't developed enough to care. Then it rushes through a resolution of all the outstanding problems in about a minute of screen time leaving the viewer feeling like they have just wasted their time.","The plot, character development, and gags in this movie are all extremely weak. Quite a waste of time."
What makes this British film stand out in terms of production quality?,"When you get your hands on a British film you expect some sort of quality. And when it comes to acting, camera work, lighting etc; this film does the business. It's done by highly skilled craftsmen. That alone can bring you an enjoyable one and a half hours. But when you look under the layers of professionalism, you don't really find anything. Apart from making you feel good and advocate a drug liberal view, there's really nothing there. The script is mediocre, the plot is predictable and the ending must be one of the worst east of Hollywood. In all it's English cosiness, it's just a shameful and cynical attempt to make another ""Full Monty"". Why they made this film? I haven't got a clue, apart from making money of course.","Despite the film showcasing solid acting performances, impressive camera work, and effective lighting, it ultimately falls short in substance. The script is lackluster, the plot is formulaic, and the ending feels disappointing. The overall film feels like a shallow attempt to replicate the success of ""Full Monty"" without offering anything original or compelling."
"What are some of the drawbacks of the film ""Saving Grace""?","My comments may be a bit of a spoiler, for what it's worth. Stop now if you care enough....<br /><br />Saving Grace should have been titled ""A Paper-Thin Excuse for Old British Women to Get High On-Screen."" This film is dumb. The incidental music is an annoyance as are the obvious, hackneyed tunes that sporadically pop up to comment on the narrative (""Spirit in the Sky,"" for example - Oh, I get it!) This is basically a Cheech and Chong movie made credible by its stodgy English setting and Brenda Blethyn's overwhelming power to inflict emotion on an audience using her voice alone. I could literally hear the folks over at High Times magazine receiving their jollies over the enormous ""buds"" that litter this picture. Worst scene? Easy. Brenda attempts to peddle her illicit wares on the street of London in a blaring white dress-suit. Not funny. Not original. Not interesting. Not a good movie. The 7.2 rating is the result of zealots over-voting. Don't waste your time...","The film ""Saving Grace"" comes across as a shallow excuse for older British women to partake in drug use on-screen. The soundtrack is irritating with cliché tunes like ""Spirit in the Sky"", and the entire movie feels like a poor attempt at a Cheech and Chong style film set in a boring English backdrop. Brenda Blethyn's performance, while emotional, can't save this movie from its dull and unoriginal plot. A scene where Brenda tries to sell drugs in a flashy white outfit falls flat and fails to evoke any humor or interest. Overall, this film is best avoided as the 7.2 rating seems inflated due to fanatical voting."
What could have been improved in this film to make it more enjoyable for the audience?,"I absolutely fail to see what is funny in this film. The humor seems to be destined for corpses. It's slow. The story is too simple to be true. The characters do not raise much sympathy, a few non-important characters aside. Nothing surprising happens. What did the writers of this script think? ""Oooo funny! Let's make some old lady's high on pot! Let's make them.... giggle! Let's make them... behave like little children!! Oooo, yes, that's absolutely brilliant and original!""<br /><br />This film has irritated me most from all the films I've seen in the last five years.","The humor in this film falls flat, feeling forced and often aimed at inappropriate subjects. The slow pace and simplistic story make it hard to engage with. The characters lack depth and fail to evoke any emotional connection, leaving the audience feeling indifferent. The lack of surprises or interesting developments throughout the film makes it a tedious viewing experience for the viewer."
"What are some of the main criticisms of the movie ""Saving Grace""?","Greenthumb Grace is left penniless after her husbands death so she turns to ganja-growing in order to pay the bills. It sounds promising and the ever-reliable Brenda Blethyn doesn't disappoint but the material is sitcom-thin. There's actually a scene where Grace asks her young gardener to ""Give me one"" (a toke) and he thinks she's asking for sex and acts all awkward. Yes, it's humour so twee a nun would be bored. Saving Grace doesn't seem to know what it wants to be: the stunning cinematography and stately pace evoke memories of Ryan's Daughter whilst the light-hearted whimsy of the country townsfolk could be lifted from any episode of Antiques Roadshow. It does speed up after the first hour but by then it's too clichéd to care. The climax manages to be unpredictable only by introducing the most shameless Deux ex Machina I've ever seen.","While Brenda Blethyn gives a reliable performance, the material of the movie is considered to be too thin and sitcom-like. The humor in the film is described as overly twee and a bit boring, with scenes that miss the mark. The movie struggles to find its identity, with a mixture of stunning cinematography reminiscent of other films and light-hearted whimsy that feels out of place. The climax of the movie is criticized for its use of a very obvious and shameless plot device."
What did the reviewer think about the movie adaptation of the beloved TV show?,"Why take a show that millions of us watched and loved as children and make a complete joke of it? They ask why Hollywood isn't making the money it used to. Because they put out garbage and pay actors huge amounts of money to be garbage men and ask us to pay $10 to see their garbage. The TV show was what it was, good people in bad situations where the good IL' boys come out on top. It wasn't Gone with the Wind but it was fun. This movie is garbage! Hollywood can't come up with anything original so they take something that was good and ruin it for some $$$$. I only hope that this movie makes 10x's less than it cost to make. The only one's to have any fun with this crap are the guys who got to drive the General Lee. The audience is the victim.<br /><br />Don't see it, watch the reruns of the TV show instead. They still hold up 20 years later.","The reviewer felt that the movie was a complete joke, turning something loved by millions into garbage for the sake of making money. They criticized Hollywood for lacking originality and ruining good shows for profit, suggesting that people should stick to watching the original reruns instead."
What aspects of the original show did this movie fail to capture?,"...then you'd better not watch this movie. They've completely ruined the premise of the show. In the movie the Duke boys are idiots, Daisy is trampy, Roscoe is sinister, Boss Hogg is capable, Uncle Jessie is a criminal...only Cooter and Flash are true to the original characters. At least Enos is kinda close.<br /><br />At one point they open the doors to get into the General Lee -- nuff said.<br /><br />The original show may not have been great TV, but it was entertaining and the characters made sense. This movie is like Dumb & Dumber meets the Simple Life.","The movie completely ruined the premise of the show by portraying the Duke boys as idiots, Daisy as trampy, Roscoe as sinister, Boss Hogg as capable, and Uncle Jessie as a criminal. Only Cooter and Flash remained true to the original characters. The film was like a mixture of Dumb & Dumber and the Simple Life, and failed to capture the entertaining and sensible characters from the original TV show."
What nostalgic show does this movie attempt to recreate and what aspects of the modern update were criticized?,"What a snore-fest.<br /><br />Of all the bits of nostalgia that Hollywood has decided to remake and update, this is by far one of the most pointless. This was a totally pointless show in the first place, and we REALLY don't need a 'modern' update.<br /><br />Never mind the bigotry and sexism inherent in the system from the beginning, so many advances have been made, socially, since the show ran that the entire point of the show (if it ever had one) has been lost.<br /><br />Also, what is the point of having a character named Boss Hogg if he's NOT overweight?","This movie was a complete snooze-fest, taking on a pointless remake of a show that didn't need any updating. The film failed to address the outdated themes and instead just felt lost in time with its revival. Additionally, the choice to not have a character named Boss Hogg overweight raised confusion and disappointment among viewers."
Were the characters portrayed accurately compared to the original series?,"First let me say that I am not a Dukes fan, but after this movie the series looked like Law and Order. The worst thing was the casting of Roscoe and Boss Hogg. Burt Reynolds is not Boss Hogg, and even worse was M.C. Gainey as Roscoe, If they ever watched the show Roscoe was not a hard ass cop. He was more a Barney Fife than the role he played in this movie.<br /><br />The movie is loaded with the usual errors, cars getting torn up, and continues like nothing happened. The worst example of this is when the the General gets together with Billy Prickett, and the General is ran into a dirt hill obviously slowing to a near stop, but goes on to win the race.","No, the casting of Roscoe and Boss Hogg was criticized for not being faithful to the original characters. Burt Reynolds as Boss Hogg was particularly called out for not fitting the role, and M.C. Gainey as Roscoe did not capture the essence of his character from the original show. The movie was also criticized for its unrealistic scenes where cars would get damaged but continue as if nothing happened, with one particular race scene being highlighted for its absurdity."
What expectations did this movie fail to meet for the reviewer?,"This movie sucked ! They took something from my childhood ,and raped it in an outhouse! This movie was so bad I wanted to go home and hold my ""Dukes"" dvds and cry in a corner. The cast was terrible ! It wasn't ""The Dukes"", it was Stiffler and Jackass driving a car. When was Boss Hogg evil? When was Rosco a tough guy? They never were ! Boss Hogg was greedy and Rosco was an idiot. When did Jesse smoke pot? He never did ! Now don't get me wrong,I'm very liberal and there's nothing wrong with a little chiba, but it had no place in this movie! The only thing good about this movie was the trailers before the movie and the end credits. It was a waste of money time and air. Avoid at all costs!!!!!!!!","The reviewer expressed disappointment in how this movie deviated from the beloved characters and themes that they grew up with, feeling that the cast did not live up to the original spirit of ""The Dukes."" The reviewer found the portrayal of Boss Hogg and Rosco to be inaccurate, and was particularly put off by Jesse's portrayal. Additionally, the inclusion of drug use in the film did not sit well with the reviewer. Overall, the reviewer advised others to stay away from this movie as it was a complete waste of time and money."
How did fans of the original TV show feel about this movie?,"I'll tell you what happened, some people with money thought it would be nice to ruin one of the best shows that was on TV. Did we really need a big screen re-make? Did they ask the fans? I wonder how all the fans would feel if they did a remake of ""Rocky Horror Picture Show"" with actors like Ashton Krutcher, Steve Martin, Britney Spears, and Kiefer Southerland, took out all the music, and made it a drama. Do you think they would like that! This movie does not have the same feel to it that the original had. Sure the original was a bit corny at times, but Bo and Luke were always nice, they got into trouble because they were always set up to get into trouble, and their main objective was to help people that passed through town. None of that mattered to the people that made this film, they might have never even seen the original show all the way through. My big question is, what will they ruin next?","Many fans of the original TV show felt that this movie was a disappointing remake. They expressed frustration over the decision to revamp the beloved show for a big screen adaptation, feeling that the essence and charm of the original series were lost in the process. Fans questioned whether the filmmakers truly understood and respected the source material, leading to disappointment and skepticism about future adaptations."
"What makes this movie a disappointing adaptation of the popular television show ""The Dukes of Hazzard""?","If this movie should be renamed, it should be ""The Jackasses of Hazzard."" To sum it up, this movie is nothing but 88 minutes of two immature country punks joyriding the famed 1968 Dodge Charger around town and in the country, chasing the girls and eluding the law.<br /><br />I have been a fan of the ""Dukes"" and what tarnishes the movie is the characters are out of key. The overindulgence of profanity, sexual references, and drug use, has made the good name of the ""Dukes"" into trailer trash.<br /><br />Side from comparing it to the television show, the acting was horrible. The only actor that got it right was the famed 1969 Dodge Charger named General Lee. The others have exaggerated the character's role which tarnished the movie.<br /><br />The ""Dukes"" have been another casualty of the 21-st century Hollywood television-to-big screen transition tragedy. Skip this movie and just buy the television series on DVD.<br /><br />My grade: F","The movie failed to capture the essence of the original show, replacing the beloved characters with exaggerated roles, excessive profanity, sexual references, and drug use. It turned the iconic ""Dukes"" into trailer trash and made a mockery of the well-loved series. The only standout performance was from the car, General Lee, while the rest of the cast delivered a subpar performance that tarnished the movie. This adaptation should be avoided, with viewers better off sticking to the classic TV series."
What were the biggest flaws in the casting choices for the movie?,"OK we all love the daisy dukes, but what is up with this cast. Lets start, Jessica Simpson as Daisy, there is not one thing country about this girl and Daisy was not ditzy! Uncle Jesse was probably the closest one to resemble the original. No offense to Burt, but I never noticed Boss HOg being so tall. That was part of the humor of Boss Hog was his size. Did they even try someone like Danny Devito?!? OK , now get this they cast Jessica Simpson did anyone take a look at her husband? He matches Luke Duke to a tee!!!!!! Cleary these producers did not look at the appearance of the old cast members. The screen t's were never present on the dukes!! This made the movie a turn off from the beginning. I give this a HUGE thumbs down.","The casting in this movie was a major disappointment, with Jessica Simpson feeling completely out of place as Daisy Duke and Burt Reynolds lacking the physical presence needed for Boss Hog. The mismatched appearances of the cast members in comparison to the original characters made it hard to connect with the film from the start, leading to a massive letdown."
"What are some shortcomings mentioned in the reviews of ""The Dukes of Hazzard""?","The Dukes of Hazzard will academy awards!! Best actor and actress 4 the persons who can say with a straight face that this was a great movie.<br /><br />This ""movie"" was a torture to watch. So sad how an weekly half hour entertainment was destroyed by these amateurs.The only good thing about this crap was the car! I remember when Daisy was a real threat to look 4ward 2. Who's the moron that decided that Jessica Simpson is hot?! We know she can't act but come on. In the TV show Daisy was a fox and brunette.<br /><br />All members who contributed in these waste of time please please please don't even think about makin a sequel, a prequel or anything that's got 2 do with a former TV show.<br /><br />I gave a empty DVD so this ""movie"" could be burned 4 me. I sat trough it and i want my money back!","The reviewer expressed disappointment with the movie, criticizing the poor acting, deviation from the original TV show, and inappropriate casting decisions, particularly regarding Jessica Simpson. The reviewer also adamantly opposed any potential sequels or prequels related to the movie."
How did fans of the original Dukes of Hazzard TV series feel about the movie adaptation?,"I had suspicions the movie was going to be bad. I'm a Duke's fan from way back. Have three years of the TV series on DVD. Well I was right. Took the family to see it. I really wanted to see the General jump again and some of the chase jump scenes were good. But to sum it up, the movie was a dumbed down tarted up version of the TV show.<br /><br />Jessica Simpson was pathetic. While I can honestly say that the original Daisy's outfits were just as revealing, Jessica Simpson's interpretation of Daisy was simply awful. Sorrel Booke and Denver Pyle must be rolling in their graves as well.<br /><br />Don't waste your money. If you are an old tried and true Dukes fan like me and my three kids are you will be very disappointed.","Fans of the original TV series were highly disappointed with the movie adaptation, feeling that it was a dumbed-down and poorly interpreted version of the beloved show. The portrayal of Daisy Duke by Jessica Simpson was especially criticized as being awful and disrespectful to the original character. The movie failed to live up to the expectations of long-time Dukes of Hazzard fans and was considered a waste of money."
"What was the viewer's reaction to the movie ""The Dukes of Hazzard""?",i wont go and give them my 10 bucks i went and bought the fourth season of the original and the best. At least my kids enjoy it and can watch it without me worrying about what they are seeing. I have a teenager and she thinks the previews are ridiculous and would rather watch the original. And she thinks Jessica Simpson is a horrible daisy in fact she thinks she looks more like a slut than daisy duke. Those shorts she might as well not be wearing anything at all. And since when is American Pie have anything to do with the Dukes SHAME ON them for putting that nasty line in there about having sex with a car. That in itself should have gotten the movie a R rating. The only good thing that might come out of this is a reunion movie with the originals. Lets all hope. So the people out there that went and seen the movie will see how it should have looked,"The viewer expressed disappointment with the movie, particularly criticizing Jessica Simpson's portrayal of Daisy Duke and the inappropriate content such as the reference to 'American Pie'. The viewer preferred the original series and hoped for a reunion movie with the original cast."
"What are some of the highlights of the movie ""The Dukes of Hazzard"" (2005)?","The 1980s TV show, updated with fresh female flesh, and raunchy language. ""The Dukes of Hazzard"" passed me by; it was not repeated whenever I was in front of the television in either New York or California; or, I probably would have watched. Still, from somewhere (like the clips accompanying this film's updated 2005 release), I knew it was about a fast, orange Dodge Charger - and, the ""General Lee"" is still good to go. <br /><br />Hunky cousins Seann William Scott and Johnny Knoxville (as Bo and Luke Duke) are the New Riders of the Orange Sage. Beautiful Jessica Simpson (as Daisy) fills her skimpy short well - but, even her arousing pink bikini can't beat off the competition from a dormitory full of bouncing, topless coeds. The too stupid plot involves a graying Burt Reynolds (as ""Boss"" Hogg) threatening to turn Hazzard County into a strip-mine.<br /><br />** The Dukes of Hazzard (7/27/05) Jay Chandrasekhar ~ Seann William Scott, Johnny Knoxville, Jessica Simpson, Burt Reynolds","The movie ""The Dukes of Hazzard"" brings a fun and modern twist to the classic TV show with fresh female cast members and raunchy humor. Seann William Scott, Johnny Knoxville, and Jessica Simpson deliver entertaining performances as the hunky cousins and Daisy Duke. The iconic ""General Lee"" car adds to the nostalgia, and the film's plot, while silly, provides some comedic moments. Overall, it's a light-hearted and enjoyable watch for fans of the original series."
Can this film be considered a well-balanced action movie?,"I'll say one thing about this film: there are no lulls. You can't get bored watching this. The problem is that it is TOO intense. There is too much action and it NEEDS lulls! That is the risk you take in modern action films. You want it interesting but not overdone. This is way overdone.<br /><br />Even though the acting is fine and features a couple of ""names"" in Gary Busey and Roy Scheider, it still has the feel of a ""B"" film. The best part of it is Scheider's dialog: the only ""A"" part of this ""B"" film.<br /><br />The rest of the story is strictly Rambo mentality but did have a few standout scenes. One in particular was a very innovative scene featuring land mines. That was memorable. Not enough of the other scenes were to make this a keeper for long.","The movie is described as overly intense with too much action, lacking moments of calm. Despite some notable performances, it still feels like a low-budget production. Although there are a couple of standout scenes, overall it has a ""Rambo"" mentality and fails to maintain interest throughout."
What makes the actor playing Mat's character convincing in the movie?,"It is enjoyable and fast-paced. <br /><br />There is no way on Earth that the actor playing Mat could be eighteen. However, the main thing is that he does act eighteen very convincingly. It must be a credit to his audition that he convinced them to cast him. I quite soon accepted him as being a naive young country boy.<br /><br />While his was the best performance, most of the others were also very engaging. In particular, the interplay between the policemen was natural and well-balanced, and worked very well.<br /><br />It is only about 45 minutes long, so the plot is not complex. More key is the style of the whole thing. It is very slick and vibrant, and the backdrops are atmospheric, especially from the fact that all the colours are extremely rich. The gangland is identifiable to foreign audiences, but still manages to be distinctly Australian.","The movie is engaging and fast-paced, with a standout performance by the actor playing Mat. The interactions between the policemen are natural and well-balanced. Despite the short duration of only 45 minutes, the style, visuals, and atmospheric backdrops are vibrant and rich in colors. The gangland setting is uniquely Australian yet relatable to foreign audiences."
Would you recommend this movie to someone who is looking for a light-hearted comedy?,"It's a real challenge to make a movie about a baby being devoured by wild canines and the mother being wrongly accused of murder funny but against all odds this one succeeds. Meryl Streep gives the performance of her life, melodramatic, overwrought but with that comic genius that keeps you laughing even as a mother struggles with the ultimate horror.<br /><br />If comedies about the infants being eaten by dogs are not your cup of tea you might be uncomfortable watching this and, yes, it is an odd choice of topic for a farce but really very little of the movie has anything to do with that as it focuses on giving Streep a showcase for her Aussie accent and facial contortions. <br /><br />Throwing in a slam at media bias and sensationalism and disregard for either the truth or ethics gives the movie the chance to make the daring point that those things are bad.","It is quite unsettling to watch a film that tries to find humor in such a dark and disturbing premise. The attempt to blend comedy with a plot involving a baby being attacked by dogs and a wrongful murder accusation misses the mark, making it hard to find enjoyment in the film. The focus seems to be more on Meryl Streep's performance than on crafting a coherent and engaging story, resulting in a disjointed and uncomfortable viewing experience."
"Who is the central role in the movie ""Norman""?","I have no idea as to which audience director George Schlatter hoped to sell this comedy-of-ills. With Redd Foxx in the central role and enough pimpy outfits and polyester to carpet the entire 1970s, ""Norman"" plays like a blaxploitation picture combined with any number of silly sitcom episodes involving comic misunderstandings, not to mention an elongated cameo by Waylon Flowers! Based on a play by Sam Bobrick and Ron Clark, this tale of an estranged married couple (Foxx and Pearl Bailey) learning the hard way that their son is secretly gay--and living with a mincing, prancing white homosexual--has enough limp-wristed jokes to shame any early episode of ""Three's Company"". Bailey keeps her dignity, and Foxx's sheer confusion is good for a couple of chuckles, but the rest of the performers are humiliated. * from ****","""Norman"" is a confusing and embarrassing comedy that feels like a mix of blaxploitation and sitcom clichés, with limp-wristed jokes that fail to land and leave most performers feeling humiliated."
What are some of the challenges faced by the film adaptations of Maugham's stories?,"This is the second British Rank film to adapt the stories of Sommerset Maugham to film. All but one story from 'Quartet' does not travel well into the contempory era; and the actors speech is decidedly ""clipped"", as only British pre-1950's actors delivery can be. In anycase 'Trio' seems tighter and more filmic than the first film adaptation.<br /><br />One of the problems these two films can't overcome is that their source material was written 25-30 years prior to the films. Consequently, by the 1950's Maughm's (pre-war) popularist ""small morality"" storyteling seemed rather quaint, if not downright coy.","The film captures the essence of Maugham's storytelling style, with the dialogue delivered in a British pre-1950's manner. However, the outdated source material makes the film seem quaint and lacking in modern relevance."
What makes Doc Savage: The Man of Bronze an enjoyable movie despite its flaws?,"Doc Savage: The Man of Bronze is a horrible movie. Poorly scripted, over-acted, and just plain silly. That being said... it is actually an enjoyable movie on some level. This movie begs to be watched in a group with an ample supply of cheap beer. It's one of those movies like ""Santa Claus conquers the Martians"" or ""Yor, the Hunter from the Future""... so bad it is almost good. If you have the right group of people this movie is a blast to watch. It's campy. It's fun. It has a theme by Sousa. If you're looking for a good movie though, look elsewhere. 3/10.<br /><br />BTW, I've heard rumors some studio is exploring the possibility of a remake...","Doc Savage: The Man of Bronze is a horrible movie. Poorly scripted, over-acted, and just plain silly. It's one of those films that falls into the category of being so bad that it's almost good. The only way to truly enjoy this movie is to watch it with a group of friends and a lot of cheap beer. It's campy and fun, but if you're searching for a well-made film, this is not the one to choose."
What makes the movie's story seem unrealistic and ridiculous?,"After having seen the movie the first question arising in my mind was: Is this supposed to be irony or not? After reading a few comments about the character Doc Savage and the comic series, I knew this film was not meant to be ironic. So, the story tells us about an US-American Super-Doc saving a south American republic from evil. Sounds like a typical story. But this one comes in such an unrealistic way that it becomes ridiculous. The mandatory end-fight shows the worst presentation of martial arts I have ever seen. The film might be interesting for low budget movie designers as a bad example.","The movie tells the story of an US-American superhero saving a South American republic from evil, but the execution is so over-the-top and unrealistic that it comes across as ridiculous. The final fight scene, in particular, features poorly choreographed martial arts that are cringe-worthy to watch. This film may only serve as a good example of what not to do for low budget movie designers."
"What role does Cynthia Rothrock play in the movie ""Manhattan Chase""?","Cynthia Rothrock,(China O'Brien),""Manhattan Chase"",2000, made this film enjoyable to watch and of course,e this cute petite gal burned up the screen with her artistic abilities and hot sexy body. China O'Brien gets upset as a police officer and decides to call it quits and go back home to her hometown and get back to her roots and her dad, who is the local sheriff. Her dad is getting older and the town has changed, gangsters have taken over the town and started to get the local women to start turning tricks and the city people were getting sick and tired of their town going to Hell. Well, you almost can guess what happens, and you are right, China O'Brien fights back after great tragedy strikes her life. Bad acting through out the picture, but Cynthia Rothrock brings this film to a wonderful conclusion.","Despite the overall bad acting in the film ""Manhattan Chase"", Cynthia Rothrock's performance saves the day and brings a satisfying conclusion to the story."
What makes China O'Brien II an entertaining watch for bad movie fans?,"I actually saw China O'Brien II before I ever saw the original China O'Brien. And I have to say that the first incarnation is actually worse. But: worse = funnier! And funnier = better. If you're a bad movie fan like I am, this is great material. If, however, you are looking for any sort of meaningful plot, acting ability, or movie-making skill, this is best avoided. The best part is how they filmed all the fighting sequences in stuttering fast-forward. Hilariously bad. See it for a laugh, see it for mindless entertainment, but whatever you do, see it for free on TV.","China O'Brien II is a hilariously bad movie, with stuttering fast-forward fighting sequences that add to its charm. While lacking in meaningful plot, acting ability, and movie-making skill, this film is perfect for those seeking mindless entertainment and a good laugh. It's best enjoyed for free on TV."
What are the main shortcomings of the film in terms of the confidence trickster theme?,"By far the most important requirement for any film following confidence tricksters is that they must, at least occasionally, be able to pull one over on us, as well as their dumb-witted marks, the cops, the mob and (ideally) each other. But this film NEVER pulls this off. Every scam can be seen coming a mile off (especially the biggen!) Neither are they very interesting, intricate or sophisticated. Perhaps Mammet hoped to compensate for this with snappy dialogue and complex psychological relationships. If so, he failed. The lines are alright, but they're delivered in such a stilted, unnatural, stylised way that I thought perhaps some clever point was being made about us all acting all the time... but it wasn't. As for the psychological complexity, the main character's a bit repressed and makes some ridiculously forced freudian slips about her father thinking she's a whore, but she gets over it. I really liked the street scenes though. Looked just like an Edward Hopper painting.","The film fails to deliver on the crucial element of surprise and fails to maintain viewer interest with predictable scams. The dialogue feels forced and the psychological relationships lack depth, with attempts at complexity falling short."
